FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,HUNDETRAENKE,SE_ANNO_CAD_DATA
HUNDEZONEOGD.2097755,2097755,POINT (16.28369791630373 48.19880733094402),Waidhausenpark,ca. 456 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097756,2097756,POINT (16.385773963386594 48.17258642459379),Puchsbaumpark,ca. 559 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097757,2097757,POINT (16.307587390014312 48.20114806135722),Ordeltpark,ca. 1664 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097758,2097758,POINT (16.32586612453163 48.2144698672107),Lorenz-Bayer-Park,ca. 532 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097759,2097759,POINT (16.323453417002252 48.17091999420054),PA Breitenfurter Straße,ca. 4222 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097760,2097760,POINT (16.26843412381344 48.14990395810607),Ölzeltpark,ca. 360 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097761,2097761,POINT (16.309296491413928 48.14834120662937),Michael-Bausback-Park,ca. 3898 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097762,2097762,POINT (16.400567216959654 48.219679457759305),Max-Winter-Park,ca. 475 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097763,2097763,POINT (16.397120363782467 48.225402121410305),Rudolf-Bednar-Park,ca. 296 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097764,2097764,POINT (16.320558040582554 48.17127507520124),Bil-Spira-Park,ca. 2005 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097765,2097765,POINT (16.44977660567267 48.231779295518514),Otto-Affenzeller-Park,ca. 2401 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097766,2097766,POINT (16.476503040111965 48.24394321987938),Teich Hirschstetten,ca. 23270 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097767,2097767,POINT (16.36543780756045 48.19137637864924),Rubenspark,ca. 345 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097768,2097768,POINT (16.347677286633623 48.187398056231316),PA Am Hundsturm,ca. 214 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097769,2097769,POINT (16.350562082002288 48.18623107062169),Einsiedlerpark,ca. 207 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097770,2097770,POINT (16.360303827665724 48.158864356759246),Neilreichgasse (MA49),ca. 750 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097771,2097771,POINT (16.37752920322684 48.17053860057911),Antonspark,ca. 335 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097772,2097772,POINT (16.32788697457501 48.17358161258961),Edelsinnstraße Hundezone,ca. 1329 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097773,2097773,POINT (16.32102158294995 48.190440813903415),PA Winckelmannstraße,ca. 1375 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097774,2097774,POINT (16.350527511030254 48.18285541452538),Ernst-Lichtblau-Park,ca. 239 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097775,2097775,POINT (16.355668919604508 48.18148102958631),PA Leopold-Rister-Gasse,ca. 358 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097776,2097776,POINT (16.363472114374094 48.18798651954139),Rudolf-Sallinger-Park,ca. 276 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097777,2097777,POINT (16.35114659751942 48.2123541658466),Schönbornpark,ca. 1084 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097778,2097778,POINT (16.354548146489833 48.194796195553906),Ernst-Arnold-Park,ca. 362 m²,Hundezone,01 4000 8042,teilweise,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097779,2097779,POINT (16.34325082085534 48.18685506836742),Stefan-Weber-Park,ca. 462 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097780,2097780,POINT (16.30910923627178 48.18783229889063),Hadikpark,ca. 18114 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097781,2097781,POINT (16.339528626940897 48.172488008853655),Unter-Meidlinger Straße/12. Bezirk,ca. 2058 m²,Hundeauslaufplatz,,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097782,2097782,POINT (16.28721515947851 48.151816986399275),PA Pölleritzergasse,ca. 3264 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097783,2097783,POINT (16.41677942011826 48.21560658399361),Fritzi-Massary-Park,ca. 1677 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097784,2097784,POINT (16.267898812536494 48.196199315730034),PA Cossmanngasse,ca. 2084 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097785,2097785,POINT (16.282453269855456 48.1458213354311),Fridtjof-Nansen-Park,ca. 1619 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097786,2097786,POINT (16.41487678044382 48.2146503508633),Erika-Morini-Park,ca. 643 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097787,2097787,POINT (16.40620481577869 48.1641072431789),PA Löwygrube,ca. 221103 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097788,2097788,POINT (16.394223436234494 48.27331322930177),Denglerpark,ca. 2742 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
