FID,OBJECTID,SHAPE,PARK,FLAECHE,TYP,TELEFON,EINFRIEDUNG,WEBLINK1,HUNDETRAENKE,SE_ANNO_CAD_DATA
HUNDEZONEOGD.2097850,2097850,POINT (16.361626149399275 48.1980948956005),Alfred-Grünwald-Park,ca. 659 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097851,2097851,POINT (16.32749550338541 48.21010926740917),Richard-Wagner-Park,ca. 539 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097852,2097852,POINT (16.44292009864125 48.25827700638757),Ingeborg-Bachmann-Park,ca. 420 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097853,2097853,POINT (16.384288530149224 48.238938042328044),Allerheiligenpark,ca. 2131 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097854,2097854,POINT (16.383987471123238 48.16777073042216),Alfred-Böhm-Park,ca. 2844 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097855,2097855,POINT (16.399595451504606 48.248984713763804),Ferdinand-Kaufmann-Platz,ca. 14489 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097856,2097856,POINT (16.38273985557453 48.268518990913094),PA Lorettowiese,ca. 2420 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097857,2097857,POINT (16.352260025869693 48.19795120552066),Esterházypark,ca. 444 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097858,2097858,POINT (16.510742805446064 48.22869116103867),Elinor-Ostrom-Park,ca. 622 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097859,2097859,POINT (16.421373820531908 48.224289245067915),Hundezone Kaisermühlen (MA45),ca. 3214 m²,Hundezone,01 4000 96530,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097860,2097860,POINT (16.41305704112793 48.2483116605527),PA Mühlschüttelgasse (MA 45),ca. 788 m²,Hundezone,01 4000 96530,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097861,2097861,POINT (16.241362661673598 48.227612494314435),Spitalwiese (MA49),ca. 25443 m²,Hundeauslaufplatz,01 4000 49000,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097862,2097862,POINT (16.278622504216305 48.24613732340871),Tiefauwiese (MA49),ca. 79701 m²,Hundeauslaufplatz,01 4000 49000,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097863,2097863,POINT (16.31758908856625 48.261270093891795),Himmelstraße (MA49),ca. 13070 m²,Hundeauslaufplatz,01 4000 49000,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097864,2097864,POINT (16.45084325211497 48.216456428380546),Mühlgrund (MA49),ca. 3573 m²,Hundeauslaufplatz,01 4000 49000,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097865,2097865,POINT (16.315949321912733 48.140378671091945),PaN-Park,ca. 665 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097866,2097866,POINT (16.379042062420794 48.22461665664004),Augarten Ost (Bundesgärten),ca. 2002 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097867,2097867,POINT (16.371009449229504 48.22644290118496),Augarten West (Bundesgärten),ca. 1064 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097868,2097868,POINT (16.41172333538127 48.20438572466873),Prater - Rustenschacher,ca. 187005 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097869,2097869,POINT (16.386926709116825 48.15287484355035),Volkspark Laaerberg,ca. 686 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097870,2097870,POINT (16.370751510437 48.17272584192381),Arthaberpark,ca. 505 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097871,2097871,POINT (16.415560868191978 48.16738407858357),Luise-Montag-Park,ca. 4202 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097872,2097872,POINT (16.409079459510274 48.171304042829185),Herderpark,ca. 2077 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097873,2097873,POINT (16.37354961202948 48.24394192878394),Forsthauspark/Hundeauslauf/Kornhäuselgasse,ca. 4064 m²,Hundeauslaufplatz,,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097874,2097874,POINT (16.34478624553081 48.2112194110796),Hamerlingpark,ca. 358 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097875,2097875,POINT (16.3564631387181 48.20566864685318),Weghuberpark,ca. 239 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097876,2097876,POINT (16.47321271647428 48.16450294467111),Artillerieplatz Hundezone,ca. 597 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097877,2097877,POINT (16.38125693745836 48.25287444650913),Hundeauslaufplatz Donauinsel Nord (MA45),ca. 13794 m²,Hundeauslaufplatz,01 4000 96530,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097878,2097878,POINT (16.32925226553424 48.15587035010461),PA Wilhelm-Erben-Gasse,ca. 4907 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097879,2097879,POINT (16.403802088654533 48.22559513241828),Mexikopark – Rosenpark,ca. 4452 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097880,2097880,POINT (16.374740790333508 48.215670680935105),GA Obere Donaustraße,ca. 623 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097881,2097881,POINT (16.353910918909012 48.22153758433544),Arne-Karlsson-Park,ca. 605 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097882,2097882,POINT (16.319023478141286 48.19644262446176),Forschneritschpark,ca. 362 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097883,2097883,POINT (16.37307145948174 48.19960216290949),Resselpark,ca. 635 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097884,2097884,POINT (16.451600303574253 48.26040087076648),Wagramer Straße/Lieblgasse (Wiener Wohnen),ca. 687 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097885,2097885,POINT (16.290946392279107 48.14973374390982),Millenbergeweg Hundezone,ca. 350 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097886,2097886,POINT (16.498983850923064 48.2225969122317),Madame-d'Ora-Park,ca. 1013 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097887,2097887,POINT (16.380056687100247 48.20393055456501),Stadtpark,ca. 1961 m²,Hundezone,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097888,2097888,POINT (16.276479418866643 48.13682624521602),Herbert-Mayr-Park (MA45),ca. 2427 m²,Hundezone,01 4000 96530,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097889,2097889,POINT (16.390605148786925 48.22350313968301),Franziska-Löw-Park,ca. 258 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097890,2097890,POINT (16.312711192095385 48.13107657879341),PA Siedlung Wienerflur,ca. 1329 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097891,2097891,POINT (16.386157668492242 48.17824844638234),Helmut-Zilk-Park,ca. 517 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097892,2097892,POINT (16.405628856015745 48.274511364565015),PA Thomagasse,ca. 816 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097893,2097893,POINT (16.44394545784926 48.161119742557254),Schloss Neugebäude - Unterer Garten,ca. 1860 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097894,2097894,POINT (16.351417616920706 48.25900528423394),Beethovenpark,ca. 1375 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097895,2097895,POINT (16.346346113236244 48.14100738059476),Draschegründe (MA49),ca. 3032 m²,Hundeauslaufplatz,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097896,2097896,POINT (16.252502250943085 48.1458973693236),Anton-Krieger-Gasse (MA49),ca. 5713 m²,Hundeauslaufplatz,01 4000 49000,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097897,2097897,POINT (16.378531105003304 48.179506348049536),Humboldtpark,ca. 251 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097898,2097898,POINT (16.27449610998072 48.18177102367778),PA Roter Berg,ca. 8451 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097899,2097899,POINT (16.29103764636894 48.161964536507206),Am Rosenhügel Hundeauslauf,ca. 749 m²,Hundeauslaufplatz,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097900,2097900,POINT (16.245622415122895 48.210782546467314),PA Wolfersberg,ca. 59546 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097901,2097901,POINT (16.339067789406787 48.22583350615912),Schubertpark,ca. 1281 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097902,2097902,POINT (16.380115003910696 48.17649935757868),PA Wielandplatz,ca. 287 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097903,2097903,POINT (16.390727487815013 48.226914052470825),Freie Mitte,ca. 553 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097904,2097904,POINT (16.314604434857014 48.155632490810326),PA Auer-Welsbach-Straße,ca. 1293 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097905,2097905,POINT (16.322076804704302 48.14564218839823),Altmannsdorfer Straße/23.Bezirk,ca. 413 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097906,2097906,POINT (16.37520487939486 48.17894776877633),PA Keplerplatz,ca. 283 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097907,2097907,POINT (16.368783301112327 48.170844554760855),PA Paltramplatz,ca. 292 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097908,2097908,POINT (16.35578251156647 48.18815214869211),Bacherpark,ca. 96 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097909,2097909,POINT (16.342434036504454 48.23896232748443),Hayekpark,ca. 832 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097910,2097910,POINT (16.44568529290363 48.2069490395211),Hundeauslaufplatz Neue Donau Süd (MA45),ca. 19045 m²,Hundeauslaufplatz,01 4000 96530,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097911,2097911,POINT (16.35531837495074 48.15325070033976),Johann-Benda-Park,ca. 1884 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097912,2097912,POINT (16.378056437474118 48.170523309788656),Antonspark,ca. 639 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097913,2097913,POINT (16.314338513362003 48.20635007888631),Rohrauerpark,ca. 349 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097914,2097914,POINT (16.42388265957399 48.27776507709944),PA Ruthnergasse,ca. 1038 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097915,2097915,POINT (16.380367989560305 48.20375490090508),Stadtpark - Kinderpark,ca. 1923 m²,Hundezone,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097916,2097916,POINT (16.380877444991402 48.202904072107614),Stadtpark - Kinderpark,ca. 260 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097917,2097917,POINT (16.373112202895815 48.21525122716687),PA Franz-Josefs-Kai,ca. 1999 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097918,2097918,POINT (16.33905702427925 48.18137969754169),Steinbauerpark,ca. 504 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097919,2097919,POINT (16.396006066226118 48.208481393560504),Hundertwasser-Promenade,ca. 577 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097920,2097920,POINT (16.396710869778467 48.206233798122625),Hundertwasser-Promenade,ca. 437 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097921,2097921,POINT (16.38487093971437 48.20053053701159),GA Linke Bahngasse,ca. 2807 m²,Hundeauslaufplatz,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097922,2097922,POINT (16.39057319043707 48.19853310171937),Arenbergpark,ca. 1125 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097923,2097923,POINT (16.321323731587427 48.185905968366356),Jheringgasse,ca. 458 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097924,2097924,POINT (16.276616936478682 48.17227854447372),Wolkersbergenstraße Hundezone,ca. 1223 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097925,2097925,POINT (16.33815378589207 48.20758000900646),Lerchenfelder Gürtel Hundezone,ca. 406 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097926,2097926,POINT (16.337611647613205 48.20674959846906),Lerchenfelder Gürtel Hundezone,ca. 598 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097927,2097927,POINT (16.387115883519893 48.179829561377424),Maria-Lassnig-Straße Hundezone,ca. 671 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097928,2097928,POINT (16.339838375309448 48.21280183792755),Hernalser Gürtel Hundezone,ca. 675 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097929,2097929,POINT (16.377341746847012 48.16684003315686),Hebbelpark,ca. 830 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097930,2097930,POINT (16.493585924008915 48.233687371083),Ostbahnbegleitstraße//Hausfeldstraße/Johann-Kutschera-Gasse,ca. 578 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097931,2097931,POINT (16.454750002841884 48.24738838906003),PA Forstnergasse,ca. 2778 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097932,2097932,POINT (16.345410352830104 48.152114989478406),Draschepark,ca. 6092 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097933,2097933,POINT (16.342067681396905 48.152723446013546),Draschepark,ca. 6731 m²,Hundeauslaufplatz,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097934,2097934,POINT (16.32726760669238 48.18194191332282),Theresienbadpark,ca. 703 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097935,2097935,POINT (16.310187025282612 48.22270383296185),Kongreßpark,ca. 1574 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097936,2097936,POINT (16.311377267483497 48.222623174585046),Kongreßpark,ca. 1436 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097937,2097937,POINT (16.430086796428945 48.26063063721425),Teresa-Tauscher-Park (MA49),ca. 1410 m²,Hundezone,01 4000 49000,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097938,2097938,POINT (16.420752523701218 48.25694377696566),PA Töllergasse,ca. 587 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097939,2097939,POINT (16.389051405023853 48.23036258164539),Freie Mitte,ca. 570 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097940,2097940,POINT (16.332599549313834 48.204028766105246),Vogelweidpark,ca. 2021 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097941,2097941,POINT (16.316907332337838 48.15299572398029),Wohnparkstraße Hundezone,ca. 1327 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097942,2097942,POINT (16.382352004830484 48.20040166287161),Modenapark,ca. 679 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097943,2097943,POINT (16.35827019805204 48.21530143908717),Votivpark,ca. 442 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097944,2097944,POINT (16.403985461003067 48.19596371904882),Bock-Park,ca. 227 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097945,2097945,POINT (16.485252688199356 48.27674148691576),Badeteich Süßenbrunn,ca. 64273 m²,Hundeauslaufplatz,01 4000 8042,nein,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097946,2097946,POINT (16.337575267753536 48.189983091040816),PA Sechshauser Gürtel,ca. 506 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097947,2097947,POINT (16.488570568511122 48.243605593554534),PA Berresgasse EPK4,ca. 484 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097948,2097948,POINT (16.45163890711747 48.252843924154256),Ernst-Paul-Zimper-Park,ca. 847 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097949,2097949,POINT (16.366592951396655 48.22595953280085),Karoline-Tintner-Promenade,ca. 448 m²,Hundezone,,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,keine,
HUNDEZONEOGD.2097950,2097950,POINT (16.278204695522057 48.139631217649466),PA Theophil-Hansen-Gasse,ca. 5343 m²,Hundezone,01 4000 8042,ja,http://www.wien.gv.at/umwelt/parks/hundezonen.html,1,
HUNDEZONEOGD.2097951,2097951,POINT (16.399088835640878 48.19426702153279),Joe-Zawinul-Park,ca. 1620 m²,Hundeverbot,01 4000 8042,nein,,keine,
HUNDEZONEOGD.2097952,2097952,POINT (16.321713178483733 48.21844595858705),PA Clemens-Hofbauer-Platz,ca. 256 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097953,2097953,POINT (16.346385245610612 48.20464707730143),Karl-Farkas-Park,ca. 1501 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097954,2097954,POINT (16.347327142208464 48.21695829278155),Gerda-Matejka-Felden-Park (privat),ca. 3388 m²,Hundeverbot,,keine Angabe,,keine,
HUNDEZONEOGD.2097955,2097955,POINT (16.414634316428565 48.29150781884634),PA Lüssenpromenade,ca. 5512 m²,Hundeverbot,01 4000 8042,nein,,keine,
HUNDEZONEOGD.2097956,2097956,POINT (16.282722518205382 48.18559322018305),PA Don-Bosco-Wiese,ca. 2279 m²,Hundeverbot,,ja,,keine,
HUNDEZONEOGD.2097957,2097957,POINT (16.395511825997996 48.249850993504616),Wasserpark,ca. 3679 m²,Hundeverbot,01 4000 8042,nein,,keine,
HUNDEZONEOGD.2097958,2097958,POINT (16.302627157899916 48.24127975300595),Pötzleinsdorfer Schloßpark,ca. 348633 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097959,2097959,POINT (16.518763514020833 48.21540764367836),PA Illnerstraße,ca. 2345 m²,Hundeverbot,01 4000 8042,nein,,keine,
HUNDEZONEOGD.2097960,2097960,POINT (16.436177385592458 48.223061353804255),Große Bucht (MA 45),ca. 1727 m²,Hundeverbot,01 4000 96530,nein,,keine,
HUNDEZONEOGD.2097961,2097961,POINT (16.38990238859228 48.205139079016),GA Esteplatz,ca. 788 m²,Hundeverbot,,nein,,keine,
HUNDEZONEOGD.2097962,2097962,POINT (16.450764326935932 48.286781671603855),PA Illgasse,ca. 2919 m²,Hundeverbot,01 4000 8042,keine Angabe,,keine,
HUNDEZONEOGD.2097963,2097963,POINT (16.391141497289137 48.204843293780556),Czapkapark,ca. 2792 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097964,2097964,POINT (16.343671682802835 48.21439668551681),GA Albertplatz,ca. 392 m²,Hundeverbot,,,,keine,
HUNDEZONEOGD.2097965,2097965,POINT (16.412050556048225 48.248565494966485),PA Mühlschüttelgasse (MA 45),ca. 8172 m²,Hundeverbot,01 4000 96530,nein,,keine,
HUNDEZONEOGD.2097966,2097966,POINT (16.219884419102865 48.17869029179456),Lainzer Tiergarten (MA 49),ca. 23546962 m²,Hundeverbot,01 4000 49000,keine Angabe,,keine,
HUNDEZONEOGD.2097967,2097967,POINT (16.448569040883232 48.27218012428379),PA Gitlbauergasse,ca. 18035 m²,Hundeverbot,01 4000 8042,keine Angabe,,keine,
HUNDEZONEOGD.2097968,2097968,POINT (16.309381020416286 48.203435718270285),PA Kendlerstraße (MA 51),ca. 996 m²,Hundeverbot,,ja,,keine,
HUNDEZONEOGD.2097969,2097969,POINT (16.365167104269045 48.19155272935369),Rubenspark,ca. 1626 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097970,2097970,POINT (16.448938708920426 48.2700423838517),Hedwig-und-Johann-Schneider-Park,ca. 15153 m²,Hundeverbot,01 4000 8042,keine Angabe,,keine,
HUNDEZONEOGD.2097971,2097971,POINT (16.395613461780336 48.16229277794163),Erholungsgebiet Laaer Wald (MA 49),ca. 296013 m²,Hundeverbot,01 4000 49000,keine Angabe,,keine,
HUNDEZONEOGD.2097972,2097972,POINT (16.319467123552684 48.21292169188194),PA Lambertgasse,ca. 258 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097973,2097973,POINT (16.333214974626234 48.189370855736634),PA Kranzgasse,ca. 690 m²,Hundeverbot,01 4000 8042,ja,,keine,
HUNDEZONEOGD.2097974,2097974,POINT (16.343920821425733 48.19377290203406),Vinzenz-von-Paul-Park,ca. 824 m²,Hundeverbot,01 4000 8042,keine Angabe,,keine,
HUNDEZONEOGD.2097975,2097975,POINT (16.355738292460966 48.20371204114158),Gutenbergpark,ca. 353 m²,Hundeverbot,01 4000 8042,teilweise,,keine,
HUNDEZONEOGD.2097976,2097976,POINT (16.34384401270833 48.187981370244714),Bruno-Kreisky-Park,ca. 10468 m²,Hundeverbot,01 4000 8042,keine Angabe,,keine,
HUNDEZONEOGD.2097977,2097977,POINT (16.360004074720084 48.18906279487036),GA Viktor-Christ-Gasse,ca. 419 m²,Hundeverbot,,ja,,keine,
HUNDEZONEOGD.2097978,2097978,POINT (16.41523329381535 48.179454196284766),PA Eisteichstraße,ca. 3855 m²,Hundeverbot,01 4000 8042,,,keine,
HUNDEZONEOGD.2097979,2097979,POINT (16.393231615880314 48.27291682198504),Denglerpark,ca. 16136 m²,Hundeverbot,01 4000 8042,keine Angabe,,keine,
HUNDEZONEOGD.2097980,2097980,POINT (16.37134131752745 48.17308602153859),Arthaberpark,ca. 9981 m²,Hundeverbot,01 4000 8042,nein,,keine,
HUNDEZONEOGD.2097981,2097981,POINT (16.405487857784436 48.145539068612266),Kurpark Oberlaa,ca. 1179 m²,Hundeverbot,01 4000 8042,ja,,keine,
